Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-04-06,2805.69,2978.36,2805.69,2978.36,128694
1999-04-07,2935.23,2935.23,2892.02,2935.23,87457.3
1999-04-08,2926.6,2961,2874.77,2935.23,182210
1999-04-09,3021.48,3237.28,2943.77,3176.84,341836
1999-04-12,3064.68,3176.84,3064.68,3151.04,151051
1999-04-13,3151.04,3220.03,3133.7,3185.54,358630
1999-04-14,3185.54,3280.42,3125.16,3280.42,205609
1999-04-15,3280.42,3470.35,3263.16,3384.08,230283
1999-04-16,3366.84,3435.93,3323.54,3358.13,137267
1999-04-19,3366.84,3409.96,3289.04,3366.84,199238
1999-04-20,3323.54,3409.96,3323.54,3409.96,133792
1999-04-21,3401.33,3418.58,3366.84,3401.33,97072.8
1999-04-22,3401.33,3401.33,3314.99,3366.84,70196.8
1999-04-23,3401.33,3435.93,3366.84,3366.84,177695
1999-04-26,3366.84,3427.21,3306.39,3306.39,64520.2
1999-04-27,3263.16,3263.16,3151.04,3151.04,183715
1999-04-28,3323.54,3323.54,3168.28,3185.54,191360
1999-04-30,3228.66,3375.47,3211.33,3332.25,201786
1999-05-06,3349.5,3625.85,3349.5,3591.25,317856
1999-05-07,3565.39,3582.63,3409.96,3409.96,227735
1999-05-10,3409.96,3487.68,3375.47,3453.08,128578
1999-05-11,3418.58,3427.21,3332.25,3332.25,67417.5
1999-05-12,3306.39,3401.33,3220.03,3323.54,135297
1999-05-13,3384.08,3418.58,3280.42,3280.42,80740.1
1999-05-14,3237.28,3245.91,3185.54,3245.91,224954
1999-05-17,3151.04,3151.04,2978.36,3038.82,115489
1999-05-18,3038.82,3047.46,2978.36,3004.31,79118.5
1999-05-19,2986.97,2986.97,2797.06,2822.93,140510
1999-05-20,2874.77,2961,2840.18,2840.18,238044
1999-05-21,2797.06,2805.69,2727.96,2762.47,136801
1999-05-24,2771.1,2822.93,2727.96,2822.93,64407.3
