Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-12-31,27.1678,33.2334,20.0138,23.184,1341443195
2008-01-31,21.553,38.1255,21.191,34.3207,782630236
2008-02-29,33.9551,36.2188,27.6222,33.5086,404016089
2008-03-31,32.7836,36.9502,27.3498,35.3151,108375593
2008-04-30,36.3124,46.2807,35.59,37.1255,106606634
2008-05-31,36.9502,41.8381,33.2334,34.0521,87753890
2008-06-30,33.8652,34.0521,24.8139,31.4239,115391909
2008-07-31,31.067,37.8536,30.7893,33.2334,81761229
2008-08-31,33.2334,43.2889,31.789,41.4799,77358630
2008-09-30,41.2983,43.4672,28.1641,29.1606,93527994
2008-10-31,29.798,31.4239,17.6589,19.108,62004186
2008-11-30,19.9232,31.6054,19.9232,26.8056,46818666
2008-12-31,26.9866,31.5165,24.9948,31.1521,18653855
2009-01-31,31.1521,32.7836,25.4477,28.2539,39106617
2009-02-28,29.0685,30.2482,19.832,23.0919,64790131
2009-03-31,21.9153,26.1717,17.116,25.8102,93040992
2009-04-30,25.1752,28.7957,22.4595,26.262,61782233
2009-05-31,25.9004,33.9551,25.7194,32.7836,108017861
2009-06-30,32.333,41.5702,28.7957,39.3942,227766022
2009-07-31,39.9417,50.2569,35.59,48.903,214588057
2009-08-31,49.3535,51.166,40.8387,43.5579,166841809
2009-09-30,43.5579,58.5078,43.5579,54.5143,169233580
2009-10-31,54.7921,58.4117,47.2748,54.6043,115249496
2009-11-30,53.6985,55.508,39.7537,52.254,184462132
2009-12-31,51.4299,55.0601,47.724,51.4299,123839430
2010-01-31,52.5229,55.508,49.1699,51.4299,98947630
2010-02-28,51.4299,51.4299,42.2909,43.4672,111655268
2010-03-31,44.3743,52.1603,43.4672,51.3473,116561351
2010-04-30,51.166,69.0952,50.7168,67.1922,159649895
2010-05-31,66.3797,70.0053,54.3357,61.4902,105735377
2010-06-30,60.947,78.5137,60.0373,73.7128,181212372
2010-07-31,74.4409,89.9283,71.2739,80.6838,226007037
2010-08-31,80.8737,83.8554,62.1224,62.8475,186883800
2010-09-30,62.3032,75.3503,60.4055,70.2745,177346480
2010-10-31,71.8121,83.5872,71.8121,75.529,141439900
2010-11-30,77.6137,85.9438,74.2596,82.318,95094928
2010-12-31,83.312,105.686,82.318,97.9842,146455363
2011-01-31,100.07,123.16,98.4348,114.648,173954248
2011-02-28,117.727,125.608,109.032,122.897,133973006
2011-03-31,121.803,135.388,85.9438,117.23,208108411
2011-04-30,118.413,131.985,93.179,127.517,215462154
2011-05-31,131.17,157.759,126.602,155.03,236963601
2011-06-30,153.21,155.668,134.17,145.83,192254716
2011-07-31,148.196,193.107,143.278,174.158,276493949
2011-08-31,177.438,196.562,152.112,186.725,269556608
2011-09-30,186.725,193.107,135.997,155.757,302268232
2011-10-31,154.935,165.867,142.184,151.933,163348242
2011-11-30,151.022,151.022,114.223,132.079,287166191
2011-12-31,134.447,164.502,134.17,164.048,191155717
2012-01-31,168.509,172.882,127.888,135.534,263738077
2012-02-29,132.079,145.287,128.523,135.084,377903665
2012-03-31,135.534,142.484,118.682,140.006,373740041
2012-04-30,140.092,140.368,110.812,112.922,369937497
2012-05-31,113.195,125.591,96.6698,105.948,366334257
2012-06-30,105.755,110.171,92.3603,102,303453284
2012-07-31,104.751,105.39,88.3167,95.4759,227729920
2012-08-31,94.3756,119.524,91.9008,104.475,251458394
2012-09-30,103.832,107.442,97.2209,103.737,170636307
2012-10-31,102.068,104.939,76.8786,81.1399,430668253
2012-11-30,81.2299,82.3458,70.0179,79.7528,386565048
2012-12-31,79.6542,80.8624,65.8521,74.2803,449816792
2013-01-31,75.6764,81.5075,64.0971,81.5075,562800008
2013-02-28,87.071,104.939,80.5842,91.425,668999869
2013-03-31,92.6275,114.853,92.6275,108.756,405193485
2013-04-30,108.85,148.469,106.886,137.72,378549103
2013-05-31,140.152,163.791,132.677,140.806,288365521
2013-06-30,138.564,184.435,133.047,181.267,312481999
2013-07-31,181.824,214.9,179.49,189.291,241078538
2013-08-31,193.968,213.123,184.995,205.555,175334747
2013-09-30,209.577,264.344,208.454,259.275,155328359
2013-10-31,259.462,269.775,230.11,256.465,174351548
2013-11-30,259.56,288.816,244.743,246.244,187353513
2013-12-31,245.115,267.903,223.643,244.836,225980959
2014-01-31,244.276,247.551,208.823,214.736,240687115
2014-02-28,215.389,243.894,195.04,235.175,215722877
2014-03-31,230.395,259.275,224.2,249.293,210961574
2014-04-30,249.486,262.222,198.176,201.758,181453548
2014-05-31,221.656,244.957,207.985,238.823,174460505
2014-06-30,239.578,262.492,229.769,251.176,120313466
2014-07-31,251.367,265.425,242.883,260.802,75896782
2014-08-31,236.752,241.373,205.719,233.446,164972896
2014-09-30,230.622,233.823,209.213,226.48,158641651
2014-10-31,225.911,233.498,198.964,225.726,117994049
2014-11-30,242.232,248.969,211.966,243.176,125216861
2014-12-31,243.936,248.396,215.47,239.861,141766157
2015-01-31,239.861,246.594,224.293,227.427,152913880
2015-02-28,241.666,276.665,238.335,276.295,119616116
2015-03-31,276.478,314.528,271.644,302.219,129740846
2015-04-30,296.969,315.108,273.956,283.12,88120477
2015-05-31,311.763,338.024,289.803,319.886,118879522
2015-06-30,317.024,338.97,300.784,327.046,114025491
2015-07-31,329.434,394.841,315.108,379.559,129843253
2015-08-31,396.269,425.396,314.157,353.306,149571540
2015-09-30,355.691,385.774,312.723,378.108,111765363
2015-10-31,381.936,409.769,369.94,391.05,96793497
2015-11-30,379.058,418.404,356.511,410.24,93688155
2015-12-31,412.644,428.477,359.867,377.138,106637813
2016-01-31,378.108,383.371,310.448,362.746,137934912
2016-02-29,335.87,383.852,304.691,342.586,179743276
2016-03-31,347.384,452.837,346.909,438.355,162188628
2016-04-30,434.009,469.737,413.726,448.006,124992381
2016-05-31,481.802,514.624,441.25,488.562,238055575
2016-06-30,486.63,531.046,471.659,519.455,140796084
2016-07-31,528.15,548.42,460.556,473.116,115952781
2016-08-31,486.63,524.283,424.353,463.936,144805296
2016-09-30,459.59,521.892,444.627,503,102721451
2016-10-31,517.532,553.304,505.032,536.142,107594717
2016-11-30,537.015,540.794,483.525,510.849,97445469
2016-12-31,511.726,605.921,474.508,587.023,117758430
2017-01-31,588.188,639.066,579.177,617.262,94087605
2017-02-28,704.492,752.172,667.276,682.679,153655919
2017-03-31,685.882,731.764,657.386,720.345,113657232
2017-04-30,730.292,747.846,650.164,696.072,136480314
2017-05-31,731.176,848.744,710.409,808.381,163051328
2017-06-30,811.303,893.496,802.532,808.673,135274708
2017-07-31,818.913,931.514,785.572,911.046,107617799
2017-08-31,992.937,1041.18,949.068,1000.24,114999067
2017-09-30,1000.24,1082.14,935.904,1046.22,78176683
2017-10-31,1043.3,1066.77,880.408,906.823,128365920
2017-11-30,924.432,1110.79,883.343,1005.14,201923109
