Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-04-04,336.395,394.225,329.636,392.711,165212426
2010-04-11,397.214,403.221,375.434,391.217,158293633
2010-04-18,400.974,419.737,399.48,407.733,120165821
2010-04-25,400.222,409.237,392.711,397.214,70358953
2010-05-02,400.222,402.488,374.711,393.464,47771393
2010-05-09,378.452,385.21,361.174,366.428,36388652
2010-05-16,362.678,408.485,362.678,397.214,89523738
2010-05-23,389.723,394.948,347.656,355.919,88995298
2010-05-30,356.681,377.7,346.162,366.428,72543981
2010-06-06,369.427,386.715,361.174,380.698,56120906
2010-06-13,368.685,370.179,346.924,352.911,76224054
2010-06-20,355.157,360.412,338.651,350.655,55723244
2010-06-27,348.408,357.414,330.369,331.892,75025992
2010-07-04,337.157,339.393,319.889,333.396,47022009
2010-07-11,331.892,369.427,316.88,367.933,89105298
2010-07-18,368.685,375.434,346.924,349.16,53120564
2010-07-25,337.909,350.655,328.132,346.162,72094379
2010-08-01,352.159,363.43,346.162,351.407,44791570
2010-08-08,351.407,372.445,349.16,365.667,55572217
2010-08-15,363.43,364.924,332.644,352.159,57154756
2010-08-22,344.658,359.689,335.653,345.41,57366237
2010-08-29,344.658,352.159,324.382,337.909,63788946
2010-09-05,340.888,341.64,316.88,325.134,65151345
2010-09-12,330.369,339.393,322.125,338.651,67734711
2010-09-19,344.658,355.157,338.651,354.405,70630236
2010-09-26,354.405,361.936,349.912,355.919,49722835
2010-10-03,359.689,370.921,351.407,369.427,77555154
2010-10-10,369.427,379.204,365.667,367.933,88500411
2010-10-17,367.19,369.427,346.162,364.924,86533261
2010-10-24,365.667,376.186,352.911,356.681,68599024
2010-10-31,358.175,365.667,349.912,355.157,82983701
2010-11-07,355.157,373.939,349.16,372.445,42376012
2010-11-14,387.467,399.48,384.449,385.21,71003798
2010-11-21,387.467,400.222,371.693,395.72,67710338
2010-11-28,397.966,401.726,385.21,399.48,50000378
2010-12-05,395.72,408.485,387.467,405.487,78072816
2010-12-12,404.725,411.493,396.452,400.974,81043985
2010-12-19,400.222,421.241,397.966,410.722,73406969
2010-12-26,411.493,419.737,402.488,418.242,55162166
2011-01-02,415.976,419.737,412.988,413.74,29297800
2011-01-09,419.737,440.013,417.49,434.006,70345907
2011-01-16,435.51,446.772,431.77,437.747,53441524
2011-01-23,443.031,443.031,414.482,416.738,74351456
2011-01-30,418.994,429.504,410.722,413.74,76998878
2011-02-06,406.971,446.02,406.229,435.51,101158849
2011-02-13,441.527,441.527,427.248,438.499,42777135
2011-02-20,438.499,440.013,425.001,431.77,79011442
2011-02-27,431.77,449.028,425.001,429.504,107042067
2011-03-06,427.248,452.026,420.489,452.026,82651563
2011-03-13,451.274,455.064,441.527,442.269,93195156
2011-03-20,367.19,403.963,301.097,387.467,213063597
2011-03-27,425.001,434.758,398.728,426.515,136227457
2011-04-03,418.994,435.51,415.244,426.515,83178670
2011-04-10,431.008,433.254,402.488,409.237,73418291
2011-04-17,394.948,409.237,389.723,390.455,82794858
2011-04-24,393.464,400.974,386.715,399.48,48138563
2011-05-01,396.452,423.487,396.452,421.993,65008316
2011-05-08,428.009,430.256,399.48,406.971,25445263
2011-05-15,413.74,419.737,379.204,396.452,93391596
2011-05-22,388.219,400.222,381.45,387.467,54012454
2011-05-29,388.951,391.217,372.445,387.467,76813229
2011-06-05,384.449,407.733,381.45,386.715,73803304
2011-06-12,387.467,401.726,382.192,397.966,72080797
2011-06-19,398.728,401.726,378.452,383.697,63749393
2011-06-26,382.192,389.723,377.7,388.951,56944737
2011-07-03,391.217,407.733,383.697,403.963,68090025
2011-07-10,406.971,418.242,405.487,413.74,50291762
2011-07-17,409.97,416.738,403.963,412.236,47314205
2011-07-24,409.237,432.512,406.229,429.504,52060222
2011-07-31,431.77,431.77,409.237,418.242,72858543
