Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1789-05-03,0.51,0.51,0.51,0.51,0
1789-06-07,0.51,0.51,0.51,0.51,0
1789-07-05,0.5,0.5,0.5,0.5,0
1789-07-31,0.5,0.51,0.5,0.51,0
1789-09-06,0.51,0.51,0.5,0.51,0
1789-10-04,0.51,0.51,0.51,0.51,0
1789-11-01,0.51,0.51,0.5,0.5,0
1789-12-06,0.5,0.5,0.5,0.5,0
1790-01-03,0.5,0.5,0.49,0.49,0
1790-02-07,0.49,0.49,0.49,0.49,0
1790-03-07,0.49,0.51,0.49,0.5,0
1790-04-04,0.5,0.5,0.49,0.5,0
1790-04-30,0.51,0.52,0.51,0.52,0
1790-06-06,0.52,0.53,0.52,0.53,0
1790-07-04,0.53,0.53,0.53,0.53,0
1790-08-01,0.53,0.54,0.53,0.54,0
1790-09-05,0.54,0.55,0.54,0.55,0
1790-10-03,0.55,0.57,0.55,0.56,0
1790-11-07,0.56,0.57,0.55,0.55,0
1790-12-05,0.57,0.57,0.57,0.57,0
1790-12-31,0.57,0.58,0.57,0.58,0
1791-02-06,0.58,0.59,0.58,0.59,0
1791-03-06,0.59,0.59,0.59,0.59,0
1791-04-03,0.6,0.6,0.6,0.6,0
1791-05-01,0.6,0.6,0.6,0.6,0
1791-06-05,0.6,0.6,0.6,0.6,0
1791-07-03,0.6,0.6,0.6,0.6,0
1791-08-07,0.6,0.61,0.6,0.61,0
1791-09-04,0.61,0.62,0.61,0.62,0
1791-09-30,0.62,0.62,0.62,0.62,0
1791-11-06,0.62,0.62,0.62,0.62,0
1791-12-04,0.63,0.63,0.63,0.63,0
1792-01-01,0.63,0.64,0.63,0.63,0
1792-02-05,0.63,0.63,0.62,0.62,0
1792-03-04,0.63,0.63,0.62,0.62,0
1792-04-01,0.62,0.62,0.62,0.62,0
1792-05-06,0.61,0.61,0.59,0.59,0
1792-06-03,0.59,0.59,0.58,0.58,0
1792-07-01,0.58,0.58,0.57,0.57,0
1792-08-05,0.57,0.57,0.57,0.57,0
1792-08-31,0.56,0.61,0.56,0.56,0
1792-10-07,0.56,0.56,0.52,0.54,0
1792-11-04,0.53,0.54,0.53,0.54,0
1792-11-30,0.54,0.54,0.54,0.54,0
1793-01-06,0.54,0.55,0.54,0.55,0
1793-02-03,0.55,0.57,0.55,0.57,0
1793-03-03,0.57,0.58,0.57,0.58,0
1793-04-07,0.58,0.61,0.58,0.59,0
1793-05-05,0.59,0.59,0.58,0.59,0
1793-05-31,0.59,0.6,0.59,0.6,0
1793-07-07,0.6,0.6,0.6,0.6,0
1793-08-04,0.6,0.6,0.6,0.6,0
1793-09-01,0.6,0.6,0.6,0.6,0
1793-10-06,0.6,0.61,0.6,0.61,0
1793-11-03,0.61,0.61,0.61,0.61,0
1793-12-01,0.62,0.62,0.61,0.62,0
1794-01-05,0.62,0.63,0.62,0.63,0
1794-01-31,0.63,0.64,0.63,0.64,0
1794-02-28,0.64,0.66,0.64,0.66,0
1794-04-06,0.66,0.66,0.66,0.66,0
1794-05-04,0.67,0.68,0.67,0.68,0
1794-06-01,0.68,0.7,0.68,0.7,0
1794-07-06,0.7,0.76,0.7,0.71,0
1794-08-03,0.72,0.73,0.68,0.73,0
1794-09-07,0.73,0.74,0.73,0.74,0
1794-10-05,0.74,0.74,0.74,0.74,0
1794-10-31,0.75,0.76,0.75,0.76,0
1794-12-07,0.76,0.76,0.76,0.76,0
1795-01-04,0.76,0.76,0.76,0.76,0
1795-02-01,0.76,0.78,0.76,0.78,0
1795-03-01,0.76,0.77,0.76,0.77,0
1795-04-05,0.76,0.78,0.76,0.78,0
1795-05-03,0.78,0.78,0.78,0.78,0
1795-06-07,0.78,0.78,0.78,0.78,0
1795-07-05,0.78,0.78,0.77,0.77,0
1795-07-31,0.77,0.77,0.77,0.77,0
1795-09-06,0.77,0.77,0.75,0.75,0
1795-10-04,0.75,0.77,0.75,0.75,0
1795-11-01,0.75,0.75,0.73,0.74,0
1795-12-06,0.74,0.74,0.73,0.73,0
1796-01-03,0.73,0.73,0.73,0.73,0
1796-02-07,0.73,0.73,0.72,0.72,0
1796-03-06,0.72,0.72,0.71,0.71,0
1796-04-03,0.71,0.71,0.71,0.71,0
1796-05-01,0.7,0.72,0.7,0.7,0
1796-06-05,0.7,0.7,0.67,0.67,0
1796-07-03,0.68,0.68,0.67,0.67,0
1796-08-07,0.67,0.67,0.66,0.66,0
1796-09-04,0.66,0.66,0.65,0.65,0
1796-09-30,0.65,0.65,0.65,0.65,0
1796-11-06,0.65,0.65,0.64,0.64,0
1796-12-04,0.64,0.64,0.63,0.63,0
1797-01-01,0.63,0.63,0.63,0.63,0
1797-02-05,0.63,0.63,0.62,0.63,0
1797-03-05,0.62,0.62,0.62,0.62,0
1797-03-31,0.62,0.62,0.62,0.62,0
1797-05-07,0.61,0.61,0.61,0.61,0
1797-06-04,0.61,0.61,0.61,0.61,0
1797-06-30,0.61,0.61,0.61,0.61,0
1797-08-06,0.61,0.62,0.6,0.6,0
1797-09-03,0.6,0.6,0.58,0.59,0
1797-10-01,0.59,0.59,0.58,0.58,0
1797-11-05,0.58,0.58,0.58,0.58,0
1797-12-03,0.58,0.58,0.58,0.58,0
1798-01-07,0.58,0.58,0.57,0.57,0
1798-02-04,0.57,0.58,0.57,0.58,0
1798-03-04,0.58,0.59,0.58,0.59,0
1798-04-01,0.62,0.62,0.59,0.6,0
1798-05-06,0.6,0.61,0.57,0.61,0
1798-06-03,0.61,0.62,0.61,0.62,0
1798-07-01,0.62,0.63,0.62,0.63,0
1798-08-05,0.64,0.65,0.64,0.65,0
1798-08-31,0.66,0.67,0.66,0.67,0
1798-10-07,0.67,0.68,0.67,0.68,0
1798-11-04,0.68,0.7,0.68,0.68,0
1798-11-30,0.68,0.69,0.67,0.69,0
1799-01-06,0.69,0.69,0.69,0.69,0
1799-02-03,0.7,0.71,0.7,0.71,0
1799-03-03,0.71,0.71,0.71,0.71,0
1799-04-07,0.71,0.72,0.71,0.72,0
1799-05-05,0.72,0.73,0.72,0.73,0
1799-05-31,0.73,0.73,0.73,0.73,0
1799-07-07,0.74,0.74,0.73,0.74,0
1799-08-04,0.74,0.74,0.73,0.74,0
1799-09-01,0.74,0.74,0.74,0.74,0
1799-10-06,0.74,0.76,0.74,0.76,0
1799-11-03,0.76,0.77,0.76,0.77,0
1799-12-01,0.77,0.79,0.77,0.79,0
1800-01-05,0.79,0.8,0.79,0.8,0
1800-01-31,0.8,0.86,0.8,0.8,0
1800-02-28,0.81,0.85,0.76,0.85,0
1800-04-06,0.86,0.89,0.86,0.89,0
1800-05-04,0.89,0.9,0.89,0.9,0
1800-06-01,0.9,0.92,0.9,0.92,0
1800-07-06,0.93,0.94,0.93,0.94,0
1800-08-03,0.94,0.96,0.94,0.96,0
1800-09-07,0.97,1.03,0.97,1,0
1800-10-05,1,1.01,1,1.01,0
1800-10-31,1,1.02,1,1.01,0
1800-12-07,1.01,1.01,1,1,0
1801-01-04,1,1,0.98,0.98,0
1801-02-01,0.98,0.98,0.96,0.96,0
1801-03-01,0.95,0.95,0.91,0.91,0
1801-04-05,0.9,0.9,0.88,0.88,0
1801-05-03,0.87,0.96,0.84,0.84,0
1801-06-07,0.83,0.83,0.72,0.81,0
1801-07-05,0.8,0.8,0.77,0.77,0
1801-07-31,0.76,0.76,0.74,0.74,0
1801-09-06,0.73,0.73,0.71,0.71,0
1801-10-04,0.7,0.7,0.68,0.68,0
1801-11-01,0.67,0.67,0.65,0.65,0
1801-12-06,0.65,0.66,0.63,0.63,0
1802-01-03,0.63,0.63,0.59,0.59,0
1802-02-07,0.61,0.61,0.6,0.6,0
1802-03-07,0.6,0.6,0.6,0.6,0
1802-04-04,0.6,0.6,0.6,0.6,0
1802-04-30,0.61,0.61,0.61,0.61,0
1802-06-06,0.61,0.61,0.61,0.61,0
1802-07-04,0.61,0.62,0.61,0.62,0
1802-08-01,0.62,0.64,0.62,0.62,0
1802-09-05,0.63,0.63,0.62,0.63,0
1802-10-03,0.63,0.64,0.63,0.64,0
1802-11-07,0.64,0.65,0.64,0.65,0
1802-12-05,0.65,0.65,0.65,0.65,0
1802-12-31,0.65,0.66,0.65,0.66,0
1803-02-06,0.66,0.67,0.66,0.67,0
1803-03-06,0.68,0.7,0.68,0.68,0
1803-04-03,0.69,0.7,0.69,0.7,0
1803-05-01,0.7,0.71,0.7,0.71,0
1803-06-05,0.71,0.71,0.71,0.71,0
1803-07-03,0.71,0.71,0.71,0.71,0
1803-08-07,0.71,0.72,0.71,0.72,0
1803-09-04,0.72,0.72,0.72,0.72,0
1803-09-30,0.72,0.73,0.72,0.73,0
1803-11-06,0.73,0.74,0.73,0.74,0
1803-12-04,0.74,0.75,0.72,0.75,0
1804-01-01,0.76,0.77,0.76,0.77,0
1804-02-05,0.78,0.8,0.78,0.8,0
1804-03-04,0.8,0.83,0.8,0.83,0
1804-04-01,0.84,0.86,0.84,0.86,0
1804-05-06,0.87,0.89,0.87,0.89,0
1804-06-03,0.9,1.02,0.9,0.93,0
1804-07-01,0.93,0.96,0.86,0.96,0
1804-08-05,0.98,1.01,0.98,1.01,0
1804-08-31,1.03,1.06,1.03,1.06,0
1804-10-07,1.07,1.08,1.07,1.08,0
1804-11-04,1.08,1.09,1.08,1.09,0
1804-11-30,1.09,1.11,1.09,1.11,0
1805-01-06,1.11,1.14,1.11,1.14,0
1805-02-03,1.12,1.12,1.12,1.12,0
1805-03-03,1.12,1.12,1.1,1.12,0
1805-04-07,1.12,1.12,1.11,1.11,0
1805-05-05,1.11,1.11,1.11,1.11,0
1805-05-31,1.11,1.12,1.11,1.12,0
1805-07-07,1.12,1.12,1.11,1.11,0
1805-08-04,1.11,1.11,1.1,1.1,0
1805-09-01,1.1,1.14,1.09,1.09,0
1805-10-06,1.09,1.09,1.06,1.09,0
1805-11-03,1.08,1.09,1.08,1.09,0
1805-12-01,1.09,1.1,1.09,1.1,0
1806-01-05,1.1,1.11,1.1,1.11,0
1806-01-31,1.12,1.15,1.12,1.15,0
1806-02-28,1.16,1.19,1.16,1.19,0
1806-04-06,1.2,1.29,1.2,1.21,0
1806-05-04,1.22,1.23,1.17,1.17,0
1806-06-01,1.23,1.24,1.23,1.24,0
1806-07-06,1.25,1.26,1.25,1.26,0
1806-08-03,1.27,1.3,1.27,1.3,0
1806-09-07,1.3,1.31,1.29,1.29,0
1806-10-05,1.28,1.28,1.26,1.26,0
1806-10-31,1.26,1.26,1.24,1.24,0
1806-12-07,1.23,1.31,1.2,1.2,0
1807-01-04,1.2,1.2,1.08,1.17,0
1807-02-01,1.15,1.15,1.11,1.11,0
1807-03-01,1.09,1.09,1.03,1.03,0
1807-04-05,1.01,1.01,0.97,0.97,0
1807-05-03,0.96,0.96,0.91,0.91,0
1807-06-07,0.89,0.89,0.86,0.86,0
1807-07-05,0.85,0.98,0.81,0.81,0
1807-07-31,0.8,0.8,0.65,0.65,0
1807-09-06,0.76,0.76,0.72,0.72,0
1807-10-04,0.71,0.71,0.69,0.69,0
1807-11-01,0.68,0.68,0.66,0.66,0
1807-12-06,0.66,0.66,0.65,0.65,0
1808-01-03,0.64,0.65,0.64,0.65,0
1808-02-07,0.65,0.66,0.65,0.66,0
1808-03-06,0.66,0.7,0.66,0.67,0
1808-04-03,0.68,0.69,0.64,0.69,0
1808-05-01,0.7,0.71,0.7,0.71,0
1808-06-05,0.72,0.74,0.72,0.74,0
1808-07-03,0.75,0.77,0.75,0.77,0
1808-08-07,0.78,0.79,0.78,0.79,0
1808-09-04,0.8,0.83,0.8,0.83,0
1808-09-30,0.84,0.94,0.84,0.86,0
1808-11-06,0.87,0.89,0.81,0.89,0
1808-12-04,0.89,0.9,0.89,0.9,0
1809-01-01,0.91,0.94,0.91,0.94,0
1809-02-05,0.95,0.97,0.95,0.97,0
1809-03-05,0.98,1,0.98,1,0
1809-03-31,1,1.01,1,1.01,0
1809-05-07,1.02,1.03,1.02,1.03,0
1809-06-04,1.13,1.13,1.04,1.07,0
1809-06-30,1.08,1.11,1.01,1.11,0
1809-08-06,1.11,1.13,1.11,1.13,0
1809-09-03,1.13,1.15,1.13,1.15,0
1809-10-01,1.16,1.17,1.16,1.17,0
1809-11-05,1.18,1.19,1.18,1.19,0
1809-12-03,1.19,1.19,1.19,1.19,0
1810-01-07,1.19,1.2,1.18,1.18,0
1810-02-04,1.18,1.18,1.17,1.18,0
1810-03-04,1.18,1.18,1.17,1.17,0
1810-04-01,1.17,1.17,1.16,1.16,0
1810-05-06,1.16,1.16,1.16,1.16,0
1810-06-03,1.16,1.16,1.15,1.15,0
1810-07-01,1.14,1.14,1.13,1.13,0
1810-08-05,1.12,1.15,1.1,1.15,0
1810-08-31,1.09,1.09,1.06,1.06,0
1810-10-07,1.01,1.06,1.01,1.05,0
1810-11-04,1.05,1.05,1.04,1.04,0
1810-11-30,1.04,1.04,1.02,1.02,0
1811-01-06,1.02,1.02,1,1,0
1811-02-03,1.01,1.01,1.01,1.01,0
1811-03-03,1.02,1.02,1.02,1.02,0
1811-04-07,1.02,1.06,1.02,1.03,0
1811-05-05,1.04,1.05,1.01,1.05,0
1811-05-31,1.05,1.06,1.05,1.06,0
1811-07-07,1.06,1.08,1.06,1.08,0
1811-08-04,1.08,1.08,1.06,1.06,0
1811-09-01,1.06,1.06,1.03,1.03,0
1811-10-06,1.03,1.03,1.01,1.01,0
1811-11-03,1,1.06,0.99,0.99,0
1811-12-01,0.99,0.99,0.93,0.93,0
1812-01-05,0.98,0.98,0.96,0.96,0
1812-01-31,0.95,0.95,0.93,0.93,0
1812-03-01,0.92,0.92,0.9,0.9,0
1812-04-05,0.9,0.9,0.89,0.89,0
1812-05-03,0.89,0.89,0.88,0.88,0
1812-06-07,0.87,0.87,0.84,0.84,0
1812-07-05,0.84,0.86,0.83,0.83,0
1812-07-31,0.82,0.82,0.8,0.81,0
1812-09-06,0.81,0.81,0.81,0.81,0
1812-10-04,0.8,0.8,0.8,0.8,0
1812-11-01,0.8,0.8,0.8,0.8,0
1812-12-06,0.8,0.8,0.8,0.8,0
1813-01-03,0.8,0.8,0.8,0.8,0
1813-02-07,0.8,0.84,0.8,0.81,0
1813-03-07,0.81,0.81,0.78,0.81,0
1813-04-04,0.81,0.81,0.81,0.81,0
