Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-04-06,1030.13,1047.14,1013.11,1047.14,14736059
1999-04-07,1052.52,1097.31,1044.46,1082.98,48384508
1999-04-08,1082.98,1110.75,1074.91,1110.75,19840106
1999-04-09,1146.57,1146.57,1101.8,1107.16,33310191
1999-04-12,1089.24,1096.41,1072.23,1074.91,10179046
1999-04-13,1092.82,1093.72,1079.39,1082.08,13060392
1999-04-14,1070.44,1073.13,1039.08,1048.04,19088783
1999-04-15,1052.52,1071.34,1045.36,1061.48,14387756
1999-04-16,1065.96,1076.7,1039.08,1039.98,13906605
1999-04-19,1039.98,1039.98,1013.11,1025.65,12082457
1999-04-20,1007.73,1018.48,1003.25,1012.21,11477380
1999-04-21,1014.9,1021.17,1001.47,1010.42,7359101
1999-04-22,1028.34,1029.23,1009.52,1029.23,12393919
1999-04-23,1030.13,1047.14,1028.34,1041.77,11618044
1999-04-26,1034.6,1046.25,1023.85,1023.85,7899427
1999-04-27,1041.77,1042.67,1025.65,1035.5,8600494
1999-04-28,1043.57,1063.26,1035.5,1048.04,15965171
1999-04-30,1012.21,1014.9,989.814,998.766,26875451
1999-05-06,994.293,1014,993.402,1010.42,17501300
1999-05-07,1009.52,1012.21,985.336,985.336,13448887
1999-05-10,998.766,1002.37,991.603,993.402,7560039
1999-05-11,1005.04,1005.04,992.505,996.09,10611079
1999-05-12,1012.21,1024.75,1005.04,1005.04,12294563
1999-05-13,999.667,1014.9,996.09,1007.73,6877950
1999-05-14,1014.9,1015.8,1006.84,1014,15307635
1999-05-17,1010.42,1011.32,999.667,1001.47,8133856
1999-05-18,1001.47,1009.52,989.814,1001.47,8764607
1999-05-19,986.235,1005.04,981.754,983.545,12023276
1999-05-20,1001.47,1025.65,985.336,1022.06,13099469
1999-05-21,1022.06,1029.23,1012.21,1028.34,8636226
1999-05-24,1024.75,1041.77,1017.58,1039.08,11150285
1999-05-25,1012.21,1018.48,998.766,1000.57,10506136
1999-05-26,999.667,1030.13,997.879,1013.11,9664399
1999-05-27,1031.03,1031.03,1013.11,1025.65,6860087
1999-05-28,1015.8,1022.06,1010.42,1017.58,11175959
1999-05-31,1012.21,1014.9,995.189,1005.94,8852802
1999-06-01,998.766,1013.11,995.189,1006.84,8276761
1999-06-02,1005.04,1005.94,988.028,992.505,10347625
1999-06-03,986.235,991.603,967.426,971.905,14847698
1999-06-04,975.486,979.959,960.257,971.905,10117629
1999-06-07,980.859,1009.52,978.173,1000.57,13432145
1999-06-08,1018.48,1021.17,1008.62,1012.21,9597412
1999-06-09,1012.21,1021.17,1009.52,1018.48,7801180
1999-06-10,1012.21,1033.71,1005.94,1024.75,12102550
