Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-04-30,3103.83,3257.04,2998.4,3096.17,28007919
1999-05-31,3257.04,3410.28,2701.48,2720.61,32722077
1999-06-30,2758.93,3048.26,2749.36,2875.81,31531007
1999-07-31,2883.43,3076.96,2799.16,2969.69,31167203
1999-08-31,2923.68,3644.11,2768.53,2873.89,52621601
1999-09-30,2988.84,3103.83,2701.48,3065.43,31623895
1999-10-31,2933.25,3400.78,2833.66,3214.91,40283978
1999-11-30,3237.94,3255.15,2940.93,2998.4,27377387
1999-12-31,2998.4,3113.4,2645.89,2680.38,25404923
2000-01-31,2680.38,2822.14,2592.24,2787.65,31005434
2000-02-29,2711.03,2751.28,2438.97,2484.96,31128061
2000-03-31,2527.1,2998.4,2435.14,2931.36,47370359
2000-04-30,2937.12,3142.14,2588.41,2588.41,35063472
2000-05-31,2596.08,2778.07,2557.76,2705.3,31526823
2000-06-30,2705.3,2730.17,2276.12,2490.7,44573822
2000-07-31,2433.22,2450.47,2051.95,2134.34,35186704
2000-08-31,2155.41,2665.04,2155.41,2529.02,59835387
2000-09-30,2548.17,2634.4,2460.04,2624.82,33758677
2000-10-31,2624.82,2774.28,2460.04,2538.6,33291536
2000-11-30,2567.34,2653.56,2063.45,2117.09,48864176
2000-12-31,2120.92,2322.1,2107.52,2247.37,39934772
2001-01-31,2297.19,2433.22,2082.61,2295.28,48930437
2001-02-28,2293.36,2391.07,2050.03,2224.39,62498313
2001-03-31,2232.06,2289.53,1661.1,2145.83,129620018
2001-04-30,2201.4,2375.74,1927.41,2210.97,125742500
2001-05-31,2278.03,2327.86,1919.76,1937,106210372
2001-06-30,1958.08,2027.05,1716.67,1973.4,116641965
2001-07-31,1935.08,1954.24,1599.8,1712.83,72560314
2001-08-31,1705.17,2021.29,1678.35,1858.45,111688736
2001-09-30,1885.27,2069.2,1611.29,1636.21,126542632
2001-10-31,1655.36,1754.99,1339.23,1450.35,250297629
2001-11-30,1458.02,1484.83,1184.05,1283.67,208730706
2001-12-31,1289.41,1291.34,917.728,1063.34,270759259
2002-01-31,1071,1124.66,892.819,927.305,175379655
2002-02-28,919.639,975.213,777.866,950.297,290696894
2002-03-31,957.96,1226.19,938.803,1015.44,283792704
2002-04-30,1015.44,1162.96,944.552,1095.91,257089654
2002-05-31,1115.07,1354.56,1086.33,1331.56,316234519
2002-06-30,1329.66,1467.6,1063.34,1120.81,322623573
2002-07-31,1139.98,1344.98,1118.9,1214.69,307223691
2002-08-31,1203.2,1245.35,1151.47,1166.79,140269168
2002-09-30,1166.79,1329.66,961.788,1310.49,368894203
2002-10-31,1262.6,1264.51,850.673,971.378,360015956
2002-11-30,961.788,973.296,593.937,749.121,335934149
2002-12-31,787.446,865.999,653.339,710.808,344640631
2003-01-31,724.215,785.532,622.674,705.061,247713481
2003-02-28,705.061,793.195,521.132,528.796,793197771
2003-03-31,521.132,538.376,394.679,406.176,682748627
2003-04-30,398.513,404.269,310.383,358.281,677156566
2003-05-31,364.024,411.921,339.124,379.346,559026568
2003-06-30,388.933,526.878,381.277,501.972,805577694
2003-07-31,503.89,620.76,501.972,567.114,873535030
2003-08-31,570.948,783.608,528.796,779.777,896157504
2003-09-30,777.866,1009.69,777.866,862.161,1313136141
2003-10-31,881.321,1295.16,867.916,1059.5,1540108735
2003-11-30,1099.74,1103.57,841.09,1025.02,834015668
2003-12-31,967.543,1097.83,906.234,1094,592225227
2004-01-31,1132.32,1134.22,1021.19,1092.08,516633418
2004-02-29,1092.08,1164.89,988.612,1164.89,484684886
2004-03-31,1195.53,1494.42,1180.21,1475.26,787655285
2004-04-30,1492.49,1636.21,1373.72,1597.88,539846823
2004-05-31,1617.04,1634.29,1285.58,1509.74,465775432
2004-06-30,1500.16,1532.75,1343.06,1433.11,420096680
2004-07-31,1419.7,1436.93,1249.19,1285.58,446045020
2004-08-31,1266.42,1306.66,1147.63,1266.42,446275195
2004-09-30,1262.6,1293.25,1151.47,1207.03,236027730
2004-10-31,1231.95,1343.06,1210.87,1320.07,323590168
