Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-04-11,214.001,241.206,208.362,231.705,73130055
1999-04-18,229.139,231.459,212.973,217.343,46703459
1999-04-25,224.01,227.09,205.279,211.694,45397926
1999-05-02,207.848,211.183,202.716,202.716,42100925
1999-05-09,205.796,212.973,205.796,210.407,25144422
1999-05-16,209.89,209.89,200.405,206.303,59809583
1999-05-23,206.048,206.048,187.572,192.452,53383182
1999-05-30,196.294,201.433,187.317,188.6,54930348
1999-06-06,188.855,193.473,182.954,186.541,52366039
1999-06-13,189.621,221.189,189.113,219.389,130835183
1999-06-20,221.955,224.269,208.1,217.854,57954530
1999-06-27,219.389,224.01,209.383,211.183,52432269
1999-07-04,211.694,219.389,210.407,218.364,48585796
1999-07-11,220.164,221.955,215.288,216.567,47447818
1999-07-18,220.675,243.772,218.364,237.351,100893358
1999-07-25,241.206,244.535,224.776,228.628,44287229
1999-08-01,228.628,239.917,221.189,239.917,38281720
1999-08-08,235.043,247.101,229.397,232.222,44275548
1999-08-15,228.628,230.936,223.755,228.628,33195947
1999-08-22,229.656,244.535,224.269,244.535,36707259
1999-08-29,247.615,248.898,234.016,234.529,40319928
1999-09-05,236.333,242.483,230.936,235.812,33129671
1999-09-12,236.333,244.535,235.812,243.507,42136006
1999-09-19,241.206,241.206,218.875,221.437,28511571
1999-09-26,219.902,233.498,206.558,212.208,32178789
1999-10-03,211.694,227.09,205.534,223.238,36013574
1999-10-10,221.189,221.437,203.992,206.558,31220073
1999-10-17,205.279,208.614,198.347,200.405,40144556
1999-10-24,198.86,206.303,189.365,198.347,40569350
1999-10-31,195.784,198.347,188.089,192.452,45955213
1999-11-07,205.023,211.952,203.737,205.279,46800896
1999-11-14,205.796,211.435,188.6,208.362,52646614
1999-11-21,210.407,225.807,197.577,223.499,54692630
1999-11-28,225.296,230.68,206.048,213.749,42393218
1999-12-05,211.183,232.739,211.183,219.65,72218112
1999-12-12,220.675,225.807,213.235,220.413,63843141
1999-12-19,220.164,223.238,208.869,216.567,46212418
1999-12-26,211.435,215.546,203.482,204.51,33273872
2000-01-02,206.558,208.614,200.405,202.451,10818492
